,endDate,NAV
0,2018-02-05,1.374
1,2018-02-06,1.336
2,2018-02-07,1.306
3,2018-02-08,1.294
4,2018-02-09,1.242
5,2018-02-12,1.258
6,2018-02-13,1.271
7,2018-02-14,1.281
8,2018-02-22,1.307
9,2018-02-23,1.312
10,2018-02-26,1.327
11,2018-02-27,1.309
12,2018-02-28,1.298
13,2018-03-01,1.306
14,2018-03-02,1.296
15,2018-03-05,1.296
16,2018-03-06,1.311
17,2018-03-07,1.302
18,2018-03-08,1.314
19,2018-03-09,1.324
20,2018-03-12,1.329
21,2018-03-13,1.318
22,2018-03-14,1.313
23,2018-03-15,1.32
24,2018-03-16,1.308
25,2018-03-19,1.313
26,2018-03-20,1.314
27,2018-03-21,1.308
28,2018-03-22,1.296
29,2018-03-23,1.26
30,2018-03-26,1.253
31,2018-03-27,1.263
32,2018-03-28,1.241
33,2018-03-29,1.257
34,2018-03-30,1.258
35,2018-04-02,1.255
36,2018-04-03,1.247
37,2018-04-04,1.245
38,2018-04-09,1.244
39,2018-04-10,1.267
40,2018-04-11,1.27
41,2018-04-12,1.258
42,2018-04-13,1.25
43,2018-04-16,1.231
44,2018-04-17,1.212
45,2018-04-18,1.218
46,2018-04-19,1.232
47,2018-04-20,1.216
48,2018-04-23,1.218
49,2018-04-24,1.241
50,2018-04-25,1.237
51,2018-04-26,1.214
52,2018-04-27,1.215
53,2018-05-02,1.217
54,2018-05-03,1.226
55,2018-05-04,1.221
56,2018-05-07,1.239
57,2018-05-08,1.252
58,2018-05-09,1.25
59,2018-05-10,1.257
60,2018-05-11,1.251
61,2018-05-14,1.262
62,2018-05-15,1.266
63,2018-05-16,1.257
64,2018-05-17,1.248
65,2018-05-18,1.26
66,2018-05-21,1.265
67,2018-05-22,1.261
68,2018-05-23,1.245
69,2018-05-24,1.237
70,2018-05-25,1.234
71,2018-05-28,1.239
72,2018-05-29,1.23
73,2018-05-30,1.206
74,2018-05-31,1.23
75,2018-06-01,1.22
76,2018-06-04,1.232
77,2018-06-05,1.244
78,2018-06-06,1.242
79,2018-06-07,1.242
80,2018-06-08,1.227
81,2018-06-11,1.227
82,2018-06-12,1.241
83,2018-06-13,1.23
84,2018-06-14,1.225
85,2018-06-15,1.221
86,2018-06-19,1.18
87,2018-06-20,1.185
88,2018-06-21,1.172
89,2018-06-22,1.178
90,2018-06-25,1.163
91,2018-06-26,1.154
92,2018-06-27,1.132
93,2018-06-28,1.121
94,2018-06-29,1.149
95,2018-06-30,1.149
96,2018-07-02,1.118
97,2018-07-03,1.119
98,2018-07-04,1.105
99,2018-07-05,1.099
100,2018-07-06,1.107
101,2018-07-09,1.136
102,2018-07-10,1.139
103,2018-07-11,1.12
104,2018-07-12,1.145
105,2018-07-13,1.15
106,2018-07-16,1.144
107,2018-07-17,1.139
108,2018-07-18,1.133
109,2018-07-19,1.132
110,2018-07-20,1.153
111,2018-07-23,1.163
112,2018-07-24,1.18
113,2018-07-25,1.179
114,2018-07-26,1.166
115,2018-07-27,1.162
116,2018-07-30,1.16
117,2018-07-31,1.161
118,2018-08-01,1.139
119,2018-08-02,1.115
120,2018-08-03,1.098
121,2018-08-06,1.085
122,2018-08-07,1.115
123,2018-08-08,1.098
124,2018-08-09,1.124
125,2018-08-10,1.127
126,2018-08-13,1.122
127,2018-08-14,1.116
128,2018-08-15,1.091
129,2018-08-16,1.087
130,2018-08-17,1.072
131,2018-08-20,1.084
132,2018-08-21,1.102
133,2018-08-22,1.097
134,2018-08-23,1.101
135,2018-08-24,1.103
136,2018-08-27,1.128
137,2018-08-28,1.126
138,2018-08-29,1.122
139,2018-08-30,1.111
140,2018-08-31,1.106
141,2018-09-03,1.102
142,2018-09-04,1.115
143,2018-09-05,1.094
144,2018-09-06,1.084
145,2018-09-07,1.088
146,2018-09-10,1.073
147,2018-09-11,1.072
148,2018-09-12,1.065
149,2018-09-13,1.076
150,2018-09-14,1.077
151,2018-09-17,1.066
152,2018-09-18,1.086
153,2018-09-19,1.099
154,2018-09-20,1.099
155,2018-09-21,1.13
156,2018-09-25,1.121
157,2018-09-26,1.132
158,2018-09-27,1.128
159,2018-09-28,1.139
160,2018-10-08,1.093
161,2018-10-09,1.092
162,2018-10-10,1.09
163,2018-10-11,1.04
164,2018-10-12,1.055
165,2018-10-15,1.041
166,2018-10-16,1.033
167,2018-10-17,1.038
168,2018-10-18,1.015
169,2018-10-19,1.044
170,2018-10-22,1.086
171,2018-10-23,1.059
172,2018-10-24,1.06
173,2018-10-25,1.062
174,2018-10-26,1.056
175,2018-10-29,1.025
176,2018-10-30,1.036
177,2018-10-31,1.05
178,2018-11-01,1.057
179,2018-11-02,1.092
180,2018-11-05,1.084
181,2018-11-06,1.078
182,2018-11-07,1.071
183,2018-11-08,1.068
184,2018-11-09,1.054
185,2018-11-12,1.066
186,2018-11-13,1.076
187,2018-11-14,1.066
188,2018-11-15,1.077
189,2018-11-16,1.082
190,2018-11-19,1.094
191,2018-11-20,1.07
192,2018-11-21,1.072
193,2018-11-22,1.069
194,2018-11-23,1.046
195,2018-11-26,1.045
196,2018-11-27,1.044
197,2018-11-28,1.057
198,2018-11-29,1.044
199,2018-11-30,1.055
200,2018-12-03,1.083
201,2018-12-04,1.085
202,2018-12-05,1.08
203,2018-12-06,1.058
204,2018-12-07,1.058
205,2018-12-10,1.047
206,2018-12-11,1.051
207,2018-12-12,1.055
208,2018-12-13,1.07
209,2018-12-14,1.053
210,2018-12-17,1.051
211,2018-12-18,1.041
212,2018-12-19,1.03
213,2018-12-20,1.022
214,2018-12-21,1.01
215,2018-12-24,1.013
216,2018-12-25,1.006
217,2018-12-26,1.001
218,2018-12-27,0.998
219,2018-12-28,1.004
220,2018-12-31,1.004
221,2019-01-02,0.991
222,2019-01-03,0.989
223,2019-01-04,1.012
224,2019-01-07,1.017
225,2019-01-08,1.015
226,2019-01-09,1.025
227,2019-01-10,1.023
228,2019-01-11,1.03
229,2019-01-14,1.021
230,2019-01-15,1.04
231,2019-01-16,1.041
232,2019-01-17,1.035
233,2019-01-18,1.053
234,2019-01-21,1.058
235,2019-01-22,1.045
236,2019-01-23,1.044
237,2019-01-24,1.05
238,2019-01-25,1.058
239,2019-01-28,1.058
240,2019-01-29,1.061
241,2019-01-30,1.053
242,2019-01-31,1.063
243,2019-02-01,1.077
244,2019-02-11,1.096
245,2019-02-12,1.103
246,2019-02-13,1.124
247,2019-02-14,1.126
248,2019-02-15,1.105
249,2019-02-18,1.139
250,2019-02-19,1.137
251,2019-02-20,1.141
252,2019-02-21,1.138
253,2019-02-22,1.162
254,2019-02-25,1.228
255,2019-02-26,1.214
256,2019-02-27,1.212
257,2019-02-28,1.209
258,2019-03-01,1.233
259,2019-03-04,1.246
260,2019-03-05,1.253
261,2019-03-06,1.263
262,2019-03-07,1.251
263,2019-03-08,1.202
264,2019-03-11,1.224
265,2019-03-12,1.232
266,2019-03-13,1.223
267,2019-03-14,1.215
268,2019-03-15,1.229
269,2019-03-18,1.262
270,2019-03-19,1.257
271,2019-03-20,1.257
272,2019-03-21,1.257
273,2019-03-22,1.257
